"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","SO2","PM10","PM25"
"05/27/2015","80","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","80","0","22","43"
"05/28/2015","87","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","87","0","23","36"
"05/29/2015","90","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","90","0","16","28"
"05/30/2015","90","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","90","0","22","28"
"05/31/2015","80","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","80","0","27","30"
"06/01/2015","58","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","58","0","37","38"
"06/02/2015","64","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","64","0","23","30"
"06/03/2015","93","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","93","0","31","34"
"06/04/2015","86","PM10","Keeler","06-027-1003","AQS","84","0","86","85"
"06/05/2015","100","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","100","0","26","35"
"06/06/2015","84","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","84","0","32","49"
"06/07/2015","77","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","77","0","10","21"
"06/08/2015","90","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","90","0","10","26"
"06/09/2015","74","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","74","0","33","25"
"06/10/2015","58","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","58","0","26","35"
"06/11/2015","53","PM10","Mill Site","06-027-0030","AQS","51","0","53","35"
"06/12/2015","47","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","47","0","18","31"
"06/13/2015","51","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","51","0","19","31"
"06/14/2015","74","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","74","0","13","43"
"06/15/2015","74","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","74","0","19","39"
"06/16/2015","101","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","101","0","26","40"
"06/17/2015","108","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","108","0","19","38"
"06/18/2015","105","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","105","0","39","45"
"06/19/2015","77","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","77","0","19","52"
"06/20/2015","64","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","64","0","16","38"
"06/21/2015","67","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","67","0","32","15"
"06/22/2015","80","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","80","0","23","27"
"06/23/2015","74","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","74","0","20","50"
"06/24/2015","77","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","77","0","19","36"
"06/25/2015","101","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","101","0","37","23"
