"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"09/14/2016","49","Ozone","Jackson-Clinton Road","06-005-0002","AQS","49","."
"09/15/2016","49","Ozone","Jackson-Clinton Road","06-005-0002","AQS","49","."
"09/16/2016","61","Ozone","Jackson-Clinton Road","06-005-0002","AQS","61","."
"09/17/2016","74","Ozone","Jackson-Clinton Road","06-005-0002","AQS","74","."
"09/18/2016","54","Ozone","Jackson-Clinton Road","06-005-0002","AQS","54","."
"09/19/2016","74","Ozone","Jackson-Clinton Road","06-005-0002","AQS","74","."
"09/20/2016","54","Ozone","Jackson-Clinton Road","06-005-0002","AQS","54","."
"09/21/2016","40","Ozone","Jackson-Clinton Road","06-005-0002","AQS","40","."
"09/22/2016","36","Ozone","Jackson-Clinton Road","06-005-0002","AQS","36","."
"09/23/2016","39","Ozone","Jackson-Clinton Road","06-005-0002","AQS","39","."
"09/24/2016","43","Ozone","Jackson-Clinton Road","06-005-0002","AQS","43","."
"09/25/2016","48","Ozone","Jackson-Clinton Road","06-005-0002","AQS","48","."
"09/26/2016","58","Ozone","Jackson-Clinton Road","06-005-0002","AQS","58","."
"09/27/2016","74","Ozone","Jackson-Clinton Road","06-005-0002","AQS","74","."
"09/28/2016","101","Ozone","Jackson-Clinton Road","06-005-0002","AQS","101","."
"09/29/2016","50","Ozone","Jackson-Clinton Road","06-005-0002","AQS","50","."
"09/30/2016","45","Ozone","Jackson-Clinton Road","06-005-0002","AQS","45","."
"10/01/2016","41","Ozone","Jackson-Clinton Road","06-005-0002","AQS","41","."
"10/02/2016","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"10/03/2016","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"10/04/2016","38","Ozone","Jackson-Clinton Road","06-005-0002","AQS","38","."
"10/05/2016","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"10/06/2016","36","Ozone","Jackson-Clinton Road","06-005-0002","AQS","36","."
"10/07/2016","46","Ozone","Jackson-Clinton Road","06-005-0002","AQS","46","."
"10/08/2016","44","Ozone","Jackson-Clinton Road","06-005-0002","AQS","44","."
"10/09/2016","49","Ozone","Jackson-Clinton Road","06-005-0002","AQS","49","."
"10/10/2016","45","Ozone","Jackson-Clinton Road","06-005-0002","AQS","45","."
"10/11/2016","45","Ozone","Jackson-Clinton Road","06-005-0002","AQS","45","."
"10/12/2016","44","Ozone","Jackson-Clinton Road","06-005-0002","AQS","44","."
"10/13/2016","40","Ozone","Jackson-Clinton Road","06-005-0002","AQS","40","."
"10/14/2016","24","Ozone","Jackson-Clinton Road","06-005-0002","AQS","24","."
"10/15/2016","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"10/16/2016","28","Ozone","Jackson-Clinton Road","06-005-0002","AQS","28","."
"10/17/2016","35","Ozone","Jackson-Clinton Road","06-005-0002","AQS","35","."
"10/18/2016","33","Ozone","Jackson-Clinton Road","06-005-0002","AQS","33","."
"10/19/2016","29","Ozone","Jackson-Clinton Road","06-005-0002","AQS","29","."
"10/20/2016","40","Ozone","Jackson-Clinton Road","06-005-0002","AQS","40","."
"10/21/2016","35","Ozone","Jackson-Clinton Road","06-005-0002","AQS","35","."
"10/22/2016","38","Ozone","Jackson-Clinton Road","06-005-0002","AQS","38","."
"10/23/2016","50","Ozone","Jackson-Clinton Road","06-005-0002","AQS","50","."
"10/24/2016","32","Ozone","Jackson-Clinton Road","06-005-0002","AQS","32","."
"10/25/2016","28","Ozone","Jackson-Clinton Road","06-005-0002","AQS","28","."
"10/26/2016","33","Ozone","Jackson-Clinton Road","06-005-0002","AQS","33","."
"10/27/2016","17","Ozone","Jackson-Clinton Road","06-005-0002","AQS","17","."
"10/28/2016","17","Ozone","Jackson-Clinton Road","06-005-0002","AQS","17","."
"10/29/2016","25","Ozone","Jackson-Clinton Road","06-005-0002","AQS","25","."
"10/30/2016","26","Ozone","Jackson-Clinton Road","06-005-0002","AQS","26","."
"10/31/2016","29","Ozone","Jackson-Clinton Road","06-005-0002","AQS","29","."
"11/01/2016","33","Ozone","Jackson-Clinton Road","06-005-0002","AQS","33","."
"11/02/2016","24","Ozone","Jackson-Clinton Road","06-005-0002","AQS","24","."
"11/03/2016","23","Ozone","Jackson-Clinton Road","06-005-0002","AQS","23","."
"11/04/2016","24","Ozone","Jackson-Clinton Road","06-005-0002","AQS","24","."
