"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25","NO2"
"04/13/2018","46","PM2.5","Laney College","06-001-0012","AQS","9","42","0","46","27"
"04/14/2018","60","PM2.5","Laney College","06-001-0012","AQS","8","43","0","60","24"
"04/15/2018","55","PM2.5","Laney College","06-001-0012","AQS","6","42","0","55","12"
"04/16/2018","43","Ozone","Livermore","06-001-0007","AQS","6","43","0","30","30"
"04/17/2018","40","Ozone","Livermore","06-001-0007","AQS","7","40","1","33","25"
"04/18/2018","38","Ozone","Livermore","06-001-0007","AQS","7","38","3","36","32"
"04/19/2018","54","PM2.5","Oakland West","06-001-0011","AQS","8","38","6","54","32"
"04/20/2018","63","PM2.5","Oakland West","06-001-0011","AQS","8","39","7","63","31"
"04/21/2018","61","PM2.5","Oakland West","06-001-0011","AQS","7","45","1","61","19"
"04/22/2018","67","PM2.5","Oakland West","06-001-0011","AQS","7","46","1","67","21"
"04/23/2018","66","PM2.5","Laney College","06-001-0012","AQS","8","51","0","66","37"
"04/24/2018","60","PM2.5","Laney College","06-001-0012","AQS","7","40","0","60","26"
"04/25/2018","53","PM2.5","Livermore","06-001-0007","AQS","7","40","0","53","25"
"04/26/2018","48","PM2.5","Laney College","06-001-0012","AQS","6","43","0","48","25"
"04/27/2018","44","Ozone","Livermore","06-001-0007","AQS","6","44","0","40","20"
"04/28/2018","47","Ozone","Livermore","06-001-0007","AQS","7","47","0","25","21"
"04/29/2018","42","Ozone","Livermore","06-001-0007","AQS","6","42","0","20","16"
"04/30/2018","42","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","7","42","0","42","29"
"05/01/2018","54","PM2.5","Oakland West","06-001-0011","AQS","6","37","0","54","25"
"05/02/2018","48","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","6","39","0","48","26"
"05/03/2018","37","PM2.5","Laney College","06-001-0012","AQS","6","37","0","37","23"
"05/04/2018","51","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS","7","46","3","51","27"
"05/05/2018","43","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS","7","38","0","43","19"
"05/06/2018","38","Ozone","Livermore","06-001-0007","AQS","6","38","0","30","20"
"05/07/2018","42","Ozone","Livermore","06-001-0007","AQS","7","42","1","38","29"
"05/08/2018","37","Ozone","Livermore","06-001-0007","AQS","6","37","0","33","22"
"05/09/2018","38","Ozone","Hayward","06-001-2001","AQS","6","38","0","33","26"
"05/10/2018","52","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS","7","40","0","52","24"
